10,Q03030305,,23204000,4,2
10,Q03050103,,23409000,1,2
10,Q03050203,,23409000,2,2
10,Q03050303,,23409000,5,2
10,Q03050403,,23409000,3,2
10,Q03050503,,23409000,4,2
10,Q03020508,,20507000,4,2
10,Q03020509,,20508000,4,2
10,Q03020510,,20509000,4,2
10,Q03030306,,23209000,4,2
10,Q03040502,,23601000,4,2
10,Q03040503,,23602000,4,2
10,Q03040504,,23603000,4,2
10,Q03040505,,23604000,4,2
10,Q03040506,,23605000,4,2
10,Q03040507,,23606000,4,2
10,Q03040508,,23607000,4,2
10,Q03040509,,23608000,4,2
10,Q03050502,,23401000,4,2
10,Q03060302,,24050101,4,2
10,Q03060303,,24050102,4,2
10,Q03060305,,24050201,4,2
10,Q03060306,,24050301,4,2
10,Q03060307,,24050302,4,2
10,Q03060308,,24050303,4,2
10,Q03060309,,24050304,4,2
10,Q03060314,,24050403,4,2
10,Q03060315,,24059000,4,2
10,Q04010202,,24950101,4,2
10,Q04010203,,24950102,4,2
10,Q04010204,,24950200,4,2
10,Q04010206,,24950300,4,2
10,Q04010207,,24950400,4,2
10,Q04010208,,24950500,4,2
10,Q04020202,,25001200,4,2
10,Q04020203,,25001000,4,2
10,Q04020204,,25001100,4,2
10,Q04020205,,25000100,4,2
10,Q05020202,,24452100,4,2
10,Q05020203,,24452200,4,2
10,Q05020204,,24459000,4,2
10,Q03010102,,20101000,1,2
10,Q03010202,,20101000,2,2
10,Q03010302,,20101000,5,2
10,Q03010502,,20102000,1,2
10,Q03010602,,20102000,2,2
10,Q03010702,,20102000,5,2
10,Q10010102,,23900000,1,2
10,Q10010402,,25250000,1,2
11,Q02010102,10840101,,1,1
11,Q02010202,10840101,,2,1
11,Q02010302,10840101,,3,1
11,Q03010402,,20101000,3,2
11,Q10010202,,23900000,3,2
11,Q10010302,,23900000,4,2
11,Q10010502,,25250000,3,2
11,Q10010602,,25250000,4,2
11,Q03020102,,20501000,1,2
11,Q03020202,,20501000,2,2
11,Q03020302,,20501000,5,2
11,Q03020402,,20501000,3,2
11,Q03020502,,20501000,4,2
11,Q03020103,,20502000,1,2
11,Q03020203,,20502000,2,2
11,Q03020303,,20502000,5,2
11,Q03020403,,20502000,3,2
11,Q03020503,,20502000,4,2
11,Q03020104,,20503000,1,2
11,Q03020204,,20503000,2,2
11,Q03020304,,20503000,5,2
11,Q03020404,,20503000,3,2
11,Q03020504,,20503000,4,2
11,Q03020105,,20504000,1,2
11,Q03020205,,20504000,2,2
11,Q03020305,,20504000,5,2
11,Q03020405,,20504000,3,2
11,Q03020505,,20504000,4,2
11,Q03020106,,20505000,1,2
